id,smiles
1,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(CO)CCC21C
2,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C)CCC21C
3,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C(=O)O)CCC21C
4,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(OO)CCC21C
5,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C(=O)OC)CCC21C
6,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(=O)CCCCCCCCCCCCCCC)CCC4(C)CCC23C)C1(C)C
7,C#C[C@H](O)C12CCC(O)[C@@H]1[C@H]1CC[C@@H]3C4(C)CCC(C)C(C)(C(=C)C)[C@@H]4CCC3(C)C1(C)CC2
8,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)C(=O)OC
9,CC(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C)CCC21C
10,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)C
11,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(O)CCC21C
12,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(COC(C)=O)CCC21C
13,C=C(C)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C=O)CCC21C
14,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)CO
15,C=C(C=O)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C)CCC21C
16,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)C=NO
17,C=C(CO)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C)CCC21C
18,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)COC(C)=O
19,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(=O)CC(C)(C)CC(=O)O)CCC4(C)CCC23C)C1(C)COC(=O)CC(C)(C)CC(=O)O
20,C=C(C)C1CCC2(C)[C@@H](CCC3(C)[C@@H]2CC[C@@H]2[C@H]4C(OC(C)=O)CCC4(C)CCC23C)C1(C)COC(=O)CCC(=O)NN
21,C=C(C(=O)O)C1(C)C(C)CCC2(C)[C@H]1CCC1(C)[C@@H]2CC[C@@H]2[C@H]3C(O)CCC3(C)CCC21C
